year,Rk_Team,Team,playoffs,G_Team,MP_Team,FG_Team,FGA_Team,FG%_Team,3P_Team,3PA_Team,3P%_Team,2P_Team,2PA_Team,2P%_Team,FT_Team,FTA_Team,FT%_Team,ORB_Team,DRB_Team,TRB_Team,AST_Team,STL_Team,BLK_Team,TOV_Team,PF_Team,PTS_Team,Rk_Opp,G_Opp,MP_Opp,FG_Opp,FGA_Opp,FG%_Opp,3P_Opp,3PA_Opp,3P%_Opp,2P_Opp,2PA_Opp,2P%_Opp,FT_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,TRB_Opp,AST_Opp,STL_Opp,BLK_Opp,TOV_Opp,PF_Opp,PTS_Opp
1980,1,San Antonio Spurs,1,82,240.9,47.0,94.4,.498,0.6,2.5,.252,46.4,91.9,.505,24.7,30.8,.801,14.1,30.7,44.7,28.4,9.4,4.1,19.4,25.6,119.4,22,82,240.9,48.8,97.5,.500,1.1,3.5,.306,47.7,94.0,.507,21.1,27.8,.758,15.2,30.1,45.4,30.9,10.1,5.6,18.5,26.7,119.7
1980,2,Los Angeles Lakers,1,82,242.4,47.5,89.9,.529,0.2,1.2,.200,47.3,88.6,.534,19.8,25.5,.775,13.2,32.4,45.6,29.4,9.4,6.7,20.0,21.8,115.1,11,82,242.4,45.4,96.6,.470,1.0,3.3,.285,44.5,93.3,.477,17.4,23.0,.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2
1980,3,Cleveland Cavaliers,0,82,243.0,46.5,98.1,.474,0.4,2.3,.193,46.0,95.8,.481,20.8,26.9,.772,15.9,29.0,45.0,25.7,9.3,4.2,16.7,23.6,114.1,19,82,243.0,46.5,92.8,.501,0.8,2.7,.291,45.7,90.1,.507,20.1,26.2,.765,15.0,32.2,47.2,26.9,8.6,6.0,20.3,24.8,113.8
1980,4,New York Knicks,0,82,241.2,46.4,93.6,.496,0.5,2.3,.220,45.9,91.2,.503,20.7,27.7,.747,15.1,28.1,43.2,27.6,10.7,5.6,19.7,26.4,114.0,20,82,241.2,45.2,91.4,.495,0.7,2.4,.278,44.5,89.0,.501,24.0,31.2,.770,15.8,29.7,45.4,26.1,9.9,4.8,20.7,24.9,115.1
1980,5,Boston Celtics,1,82,242.4,44.1,90.1,.490,2.0,5.1,.384,42.1,84.9,.496,23.3,29.9,.779,15.0,30.0,44.9,26.8,9.9,3.8,18.8,24.1,113.5,6,82,242.4,41.9,89.2,.470,0.9,3.2,.286,41.0,86.0,.477,20.9,27.1,.770,14.2,28.0,42.2,22.8,8.4,5.1,19.9,25.1,105.7
1980,6,Indiana Pacers,0,82,242.1,44.4,93.8,.473,1.1,3.8,.280,43.3,89.9,.481,21.4,28.5,.751,17.0,28.4,45.4,26.2,11.0,6.5,18.5,24.1,111.2,17,82,242.1,45.0,92.0,.489,0.7,2.8,.246,44.4,89.2,.497,21.1,28.0,.756,17.0,31.1,48.1,28.3,9.0,5.7,21.4,24.7,111.9
1980,7,Phoenix Suns,1,82,240.9,43.5,88.2,.493,0.8,3.4,.243,42.7,84.8,.504,23.2,30.1,.773,13.1,30.0,43.0,27.8,11.1,4.2,19.9,22.6,111.1,8,82,240.9,43.5,91.2,.476,1.2,3.6,.337,42.2,87.6,.482,19.4,25.8,.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5
1980,8,Houston Rockets,1,82,243.0,43.9,91.4,.480,1.3,4.6,.274,42.6,86.8,.491,21.7,28.4,.766,17.0,27.0,44.0,26.2,9.5,4.5,19.1,23.5,110.8,15,82,243.0,44.6,90.0,.496,0.7,2.6,.270,43.9,87.4,.502,20.7,26.3,.788,15.7,28.3,44.0,27.1,9.5,5.2,19.5,25.0,110.6
1980,9,Milwaukee Bucks,1,82,241.5,44.9,92.1,.488,0.6,1.9,.323,44.3,90.2,.491,19.6,25.6,.764,15.2,29.2,44.4,27.8,9.5,6.2,18.2,23.6,110.1,7,82,241.5,42.1,91.3,.462,0.9,3.7,.249,41.2,87.6,.471,20.9,27.7,.753,16.6,28.0,44.5,26.3,8.7,4.4,20.0,23.3,106.1
1980,10,Philadelphia 76ers,1,82,242.1,43.0,87.3,.492,0.3,1.5,.216,42.6,85.7,.497,22.9,29.6,.772,14.5,32.1,46.6,27.1,9.7,8.0,20.8,22.7,109.1,4,82,242.1,42.0,92.2,.455,0.9,3.4,.271,41.1,88.8,.463,20.0,26.2,.765,16.1,28.7,44.8,25.5,10.7,4.7,19.0,25.6,104.9
